	feature_index	feature_name	feature_weight
66	66	vectorizer__ach	0.5920862214430832
89	89	vectorizer__ach q vc	0.5959061008543887
453	453	vectorizer__ano vam	0.6119663149279946
81	81	vectorizer__ach m engr	0.6326777020335127
285	285	vectorizer__al femin	0.6326777020335127
344	344	vectorizer__am esquerd	0.6480307644186059
207	207	vectorizer__agend esquerd mand	0.6761905829650603
391	391	vectorizer__amizad	0.6788173326917517
290	290	vectorizer__alaket	0.7035807192699324
63	63	vectorizer__aces	0.7158917259917051
76	76	vectorizer__ach gay	0.7213374029898388
357	357	vectorizer__ama voc	0.7235387521844826
323	323	vectorizer__ali	0.725656999951254
200	200	vectorizer__afr	0.7293116962525455
449	449	vectorizer__ano par	0.7317351099970051
211	211	vectorizer__agir	0.7400729688549282
106	106	vectorizer__acompanh	0.7603406258987823
329	329	vectorizer__aliment	0.7659561038180784
173	173	vectorizer__adult	0.7672754108702178
54	54	vectorizer__acas	0.7696298019655781
59	59	vectorizer__aceit refugi aka	0.7830806229931376
193	193	vectorizer__aff q mulh	0.7834207242049198
5	5	vectorizer__aben oe	0.7861009383828828
75	75	vectorizer__ach ess	0.7919810367540946
310	310	vectorizer__algu m entend	0.8000006662935008
191	191	vectorizer__aff	0.8063082655309792
341	341	vectorizer__alvalad	0.8200284177812632
349	349	vectorizer__am pra	0.8261860019381402
319	319	vectorizer__algum pa	0.8401141879412672
322	322	vectorizer__alhe	0.8448496283349384
301	301	vectorizer__alert	0.8448496283349384
95	95	vectorizer__ach vai	0.8489693218975429
444	444	vectorizer__ano int	0.85731862182314
69	69	vectorizer__ach bem	0.862816179443303
356	356	vectorizer__ama	0.8642764093461416
97	97	vectorizer__ach vdd n	0.8719066630341413
282	282	vectorizer__aka m	0.8760450274917568
272	272	vectorizer__air	0.8761143906465304
4	4	vectorizer__aben	0.8875563317649068
104	104	vectorizer__acolh refugi	0.8877791971042603
388	388	vectorizer__amig n	0.8960843931085658
402	402	vectorizer__an nci	0.9035605884353616
295	295	vectorizer__aldrab es	0.9039649236531684
284	284	vectorizer__al	0.9091725389097924
14	14	vectorizer__abort urlh	0.9123827440465145
353	353	vectorizer__am ric latin	0.9134600986802321
427	427	vectorizer__angol n	0.9145623069813198
428	428	vectorizer__angol n cidad	0.9145623069813198
38	38	vectorizer__ac dc	0.9159558359003392
9	9	vectorizer__abert	0.9175635839487724
202	202	vectorizer__agarr	0.9223724851486655
416	416	vectorizer__angol aind	0.9247988449230885
266	266	vectorizer__aind prop sit	0.9256119699292532
71	71	vectorizer__ach burr	0.9256839954601914
109	109	vectorizer__acord	0.9258073697107377
235	235	vectorizer__agradec pel	0.9293560415625957
390	390	vectorizer__amig urlh	0.9328115836012353
395	395	vectorizer__amo ess	0.9330827623972279
332	332	vectorizer__alist	0.9368092681120813
122	122	vectorizer__acredit	0.9405616240043904
240	240	vectorizer__aguent ess	0.9431116652379525
376	376	vectorizer__americ	0.9431116652379525
397	397	vectorizer__amor	0.9435990763725226
12	12	vectorizer__abord	0.9563589864587061
91	91	vectorizer__ach s	0.9570267777379702
186	186	vectorizer__aeroport	0.963699817743621
379	379	vectorizer__american	0.963699817743621
224	224	vectorizer__agor sim	0.9694948095448874
233	233	vectorizer__agrad	0.9694948095448874
268	268	vectorizer__aind resp urlh	0.9705897299663868
31	31	vectorizer__absurd n	0.9714909575899418
365	365	vectorizer__ambos	0.9743300189097105
303	303	vectorizer__alexandr borg	0.975472320882969
123	123	vectorizer__acredit jesu	0.9767462981384215
415	415	vectorizer__angol	0.9777091517919343
79	79	vectorizer__ach iss n	0.9865420551422649
287	287	vectorizer__al m	0.99949813069195
41	41	vectorizer__acab	1.0018558576963
406	406	vectorizer__analis	1.0030113401309462
267	267	vectorizer__aind resp	1.005542949008857
120	120	vectorizer__acr lic	1.0111100898738836
450	450	vectorizer__ano pass	1.012079600903635
447	447	vectorizer__ano n	1.0124975388109474
228	228	vectorizer__agor tud	1.0126916576319362
279	279	vectorizer__ajud urlh	1.013020726462971
132	132	vectorizer__aculp dobenf	1.0161690965354686
443	443	vectorizer__ano est	1.024069656541232
305	305	vectorizer__algarv	1.0362944552001152
385	385	vectorizer__amig mentionh decor	1.0565858479260868
56	56	vectorizer__aceit apart	1.057458026787886
208	208	vectorizer__agend femin	1.0596739512620201
286	286	vectorizer__al femin at	1.0610020575455394
281	281	vectorizer__aka	1.0641884491107125
178	178	vectorizer__ae	1.0700099811862696
380	380	vectorizer__amig	1.070241609467914
467	467	vectorizer__antoni felici	1.0770321296087402
117	117	vectorizer__acord urlh	1.081296651346659
270	270	vectorizer__aind tinh	1.0828579773184448
124	124	vectorizer__acredit n	1.083188755756182
389	389	vectorizer__amig q	1.0853650561465493
174	174	vectorizer__adult trancafi	1.0876834531196837
